,Tweet
0,"RT @TV9Bharatvarsh: दूरसंचार लाइसेंस नियमों में बदलाव के बाद भारत सरकार इस बड़ी चीनी कंपनी पर प्रतिबंध लगा सकती है
#TechNews | #TelecomNews…"
1,"दूरसंचार लाइसेंस नियमों में बदलाव के बाद भारत सरकार इस बड़ी चीनी कंपनी पर प्रतिबंध लगा सकती है
#TechNews | #TelecomNews | #China | #Huawei
https://t.co/cwIWHPsrIS"
2,"हुवावे लाया धांसू स्मार्टफोन, जानें कीमत और खूबियां...

@Huawei
#huawei
#HuaweiMate40E

https://t.co/3PpUEJEX0W"
3,"@OnePlus_IN @Hasselblad Haha hahaha kya add tha
Samaj main hi nahi aaya mobile ka tha,  ya moon jaise light ka .
Has has ke pagal hogaya"
4,"RT @aajtak: नए OnePlus स्मार्टफोन से आएंगी ऐसी तस्वीरें, देखें सैंपल्स 

https://t.co/Ly70k2QCUo"
5,"नए OnePlus स्मार्टफोन से आएंगी ऐसी तस्वीरें, देखें सैंपल्स 

https://t.co/Ly70k2QCUo"
6,@OnePlus_IN @Hasselblad Nice Mobile Bhai
7,@GonFreecss99 @oneplus Nidhi ee mobile...!?
8,"वनप्लस के धांसू स्मार्टफोन की लॉन्च डेट आई सामने, मिलेगा जबरदस्त कैमरा 

#OnePlus 
#oneplus9pro 
#Oneplus9Series 
@OnePlus_IN 

https://t.co/Zd2bcjFPO6"
9,"Friends क्या एक oppo mobile phone लेना चाहते हैं और आपका बजट मात्र ₹10000 है और आप चाहते हैं कि आपके इसी बजट में आपके लिए एक बहुत ही best oppo mobile phone मिल जाए जो कि आपकी सारी आवश्यकता की पूर्ति कर सके तो यह आर्टिकल आज आप जरूर पढ़ ले क्योंकि यहां पर

https://t.co/IL9moH0Yyd https://t.co/PYgHhBJZtd"
10,"RT @SodhaAdil: @AlenWuOPPO @oppomobileindia 
Aur sir oppo mein auto call recording ke quehashan ke hisab se mobile ka bhi preez drop bahot…"
11,"@AlenWuOPPO @oppomobileindia 
Aur sir oppo mein auto call recording ke quehashan ke hisab se mobile ka bhi preez drop bahot ho raah hai"
12,"Oppo Reno 5Pro 5G Mobile se gathiya Koi bhi mobile nahi hai Mene liya lekin pese barbad ho gya ,na front cemra achha hai na hi auto call recording,Sabse bura phone oppo Mobile company @oppomobileindia @oppo @OPPOCareIN @oppo"
13,@ManojSaru @oppomobileindia Oppo ke bare me to ham me pata nahi jab tum youtube me Bata te ho mobile ke bare me to ham he bhi lagta he mobile achha hoga
14,@LegiMian Oppo mobile use kar ke dekhen🤭
15,@PritamYadav95 @oppo @oppomobileindia @OPPOCareIN @OPPOCareGlobal Bhai oppo ek faltu company he update ke mamle me jo bhi oppo ke mobile leta ho wo badh me pachta ta he me ek dukhan dhar hu or oppo ke mobile beichna bondh kardiya hob
16,"@amazonIN 
Mene Amazon se mobile lya he oppo A15s jo mobile chalu nahi ho raha he. Me customer care pe 01/03/21 ko comlent not karwa chuka hu muje bola gya ki ap ka mobile 4 din me replace ho jye ga.
But mera mobile abhi tak return nahi Hua he. Har bar coll karne par 4 din orbol https://t.co/d4tTfGkvsM"
17,@GyanTherapy Sir mujhe 35000 tak ka mobile lena hai. Oppo reno 5 pro lene ki soch raha hu par usme heating problem jyada hai kya ya phir koi dusra mobile le lu samajh nahi aa raha hai please sir suggest me a right phone. Mai normal user hu. Mai aapka har video dhekhta hu.
18,"@ashwani_mahajan अगर भारतीय सामान का इतना ही ज़ोर चलता तो 
Oppo vivo Realme One+ Mi Redmi
Mobile ,Bluetooth ,TV 
E rickshaw ki battery और लगभग सारे सर्किट में ७०% से ज्यादा माल चीन से आता है 
 
किसी भी कंपनी को पसीना तो छोड़िए तनाव की हवा भी नहीं लगी"
19,"RT @aajtak: मैक्रो नहीं, अब माइक्रोस्कोप कैमरा वाले फोन आएंगे, फोन का डिजाइन भी काफी अलग है. पढ़ें इसके बारे में... 

https://t.co/HPDy5kQJ…"
20,"मैक्रो नहीं, अब माइक्रोस्कोप कैमरा वाले फोन आएंगे, फोन का डिजाइन भी काफी अलग है. पढ़ें इसके बारे में... 

https://t.co/HPDy5kQJsf"
21,@oppomobileindia kya aapko pata hai oppo mobile ki sabse badi problem kya hai? IC full short hona.  Main Mobile technician hu. Aur mere pass abtak ki sabse jyada dead mobile oppo ki hi aayi hai. Jo maine bahut koshish ke bad kuchh hi mobile on kar paya hu. Isliye main aapko..
22,"OPPO ने लॉन्च किया लाख रुपये वाला स्मार्टफोन, मिलेंगे ये दमदार फीचर्स 

@oppo  #OPPOFindX3Pro 

https://t.co/rmXXfyhGIA"
23,Oppo Find X3 Pro launch today : जानिए @oppomobileindia  द्वारा लांच किये गये इस नये स्मार्टफोन के बारें में #mobile #mobilegames  https://t.co/TThLCaFx2Eजानिए-oppo-द्वारा-लांच-कि/
24,"OPPO F17 Pro@₹21,490@EMI ₹1,012 से शुरु । नो कॉस्ट EMI उपलब्ध. EMI विकल्प
https://t.co/PfoQ3K8MBO : new launch mobile 2021 https://t.co/DRABPOaUlA via @amazon
48 MP + 8 MP + 2 MP + 2 MP क्वाड कैमरा फोटो, वीडियो, पैनोरमा, पोर्ट्रेट, 16MP मुख्य + 2MP गहराई वाला फ्रंट कैमरा https://t.co/974H98gSYs"
25,"Oppo A52 ₹14,999@ EMI ₹706 से शुरु । नो कॉस्ट EMI उपलब्ध. EMI विकल्प
https://t.co/PfoQ3K8MBO : new launch mobile 2021 https://t.co/zI7PuWxYcJ via @amazon
12MP+8MP+2MP+2MP AI क्वाड पीछे का कैमरा, 4K वीडियो, AI ब्यूटीफिकेशन | 16MP आगे वाला कैमरा16.51 सेंटीमीटर (6.5-इंच) FHD+ पंच https://t.co/SqBas4e7Vu"
26,"आइये जानते हैं आखिर क्यूँ लेटेस्ट Oppo F19 Pro+ 5G मोबाइल फोन F-Series में सबसे बेहतरीन स्मार्टफोन https://t.co/JsHJ4pnZ2u
[ब्रांड स्टोरी @oppomobileindia] https://t.co/Mslw7INPc9"
27,"सस्ते में खरीदना चाहते हैं 5G स्मार्टफोन, इस लिस्ट में मिलेगा बेस्ट ऑप्शन 

#5G 
@realmeIndia 
@oppomobileindia 
@motorolaindia 
@XiaomiIndia 

https://t.co/EU5lhqFYmM"
28,"@GODSTAR666 @GyanTherapy @TechnicalGuruji kyu samsung , vivo , oppo ka koi mobile nahi mila kya😂😂🤣🤣 aur yaha realme ki baat nahi ho rahi hai😉😉"
29,@TrakinTech Kash Oppo F19pro+ give away mai main lucky hu to mujhe bhi bada mobile chalane ko mil jayega🤗
30,"48MP कैमरा और 8GB रैम के साथ आये Oppo F19 Pro, F19 Pro+ स्मार्टफोन्स, जानिए कीमत फीचर्स और सेल डीटेल

@oppomobileindia 

https://t.co/L9b7eq5xl4"
31,https://t.co/jBkhC07ZGD #TrakinTech Bhai shahb mere ko Mobile bahut aacha laga please dila do please Bhai shahb dila do
32,"RT @NbtTech: 48MP क्वाड रियर कैमरा के साथ Oppo F19 Pro+ और Oppo F19 Pro भारत में लॉन्च, जानें कीमत व खूबियां
https://t.co/NFsZ2PRtW1 https:…"
33,"48MP क्वाड रियर कैमरा के साथ Oppo F19 Pro+ और Oppo F19 Pro भारत में लॉन्च, जानें कीमत व खूबियां
https://t.co/NFsZ2PRtW1 https://t.co/4ahkPQLTOT"
34,"ओप्पो लाया दो धांसू स्मार्टफोन, जानें इनकी कीमत और खूबियां... 

@oppomobileindia
@oppo
#OPPOF19ProSeries
#FlauntYourNights

https://t.co/g2s9GRF9Yz"
35,"ओप्पो ला रहा दो धांसू स्मार्टफोन, जानें खास बातें...

@oppomobileindia
@oppo
#OPPOF19ProSeries
#OppoF19Pro
#oppof19proplus 

https://t.co/hvPnLhDlMU"
36,"RT @sun_itsSD: @OPPO_Mobile_MP Ans👉 Tera Dhyaan Kidhar Hai ""Varun Dhawan"" OPPO F19 Pro Series lekar Idhar Hai 😉😍
#OPPOF19ProSeries #FlauntY…"
37,"RT @prasanttomar: और न ही service center द्वारा कोई संतोषजनक जवाब दिया गया है कि कब तक उसके mobile की screen replace होगी ।
मेरा realme से…"
38,"और न ही service center द्वारा कोई संतोषजनक जवाब दिया गया है कि कब तक उसके mobile की screen replace होगी ।
मेरा realme से निवेदन है कि मेरे दोस्त की इस  समस्या को शीघ्र ही समाधान करने का कष्ट करना । (2/2)
#realme7pro"
39,"रियलमी दे रहा जबरदस्त ऑफर, सिर्फ 1080 रुपये में प्री-बुक कर सकते हैं फोन 

@realmeIndia 
@Flipkart 
#realme8series 
#Realme8Pro 
#Realme8 

https://t.co/GU7aYsffo2"
40,"@SamsungIndia @sarahjanedias03 Fast charger नहीं होगा,  realme जैसे mobile 35 मिनट में full charge होता है।  samsung के किसी भी mobile मे Fast charging की सुविधा नहीं है। 3 घंटे लगते हैं फुल चार्ज करने में ,और ये बहुत बरी समस्या है इसे कंपनी को जल्द दूर करना चाहिए।"
41,"@MadhavSheth1 @realmeTechLife 

 mere pas ek Chinese realme x7 pro hai mere mobile me jio sim se data to on ho gaya but volte option nahi AA raha .
Settings me bhi volte option nahi hai *#4636*# code bhi nahi Kam kar raha hai .

Main Kya karu"
42,"@TheMrPhone mere pas ek Chinese realme x7 pro hai mere mobile me jio sim se data to on ho gaya but volte option nahi AA raha .
Settings me bhi volte option nahi hai *#4636*# code bhi nahi Kam kar raha hai .

Main Kya karu"
