,hi-en,hi,len-hi,len-hi-en
0,mir,मिर,3,3
1,mhb,एमएचबी,6,3
2,mgr,एमजीआर,6,3
3,apm,एपीएम,5,3
4,apl,एपीएल,5,3
5,mfi,एमएफआई,6,3
6,mfc,एमएफसी,6,3
7,mfa,एमएफए,5,3
8,api,अपि,3,3
9,met,मेट,3,3
10,men,मेन,3,3
11,mem,एमईएम,5,3
12,dhf,डीएचएफ,6,3
13,med,मेड,3,3
14,ubd,यूबीडी,6,3
15,any,अन्य,4,3
16,ubs,यूबीएस,6,3
17,mea,एमईए,4,3
18,mdu,एमडीयू,6,3
19,mdt,एमडीटी,6,3
20,mds,एमडीएस,6,3
21,uco,यूको,4,3
22,mdp,एमडीपी,6,3
23,mdn,एमडीएन,6,3
24,mdm,एमडीएम,6,3
25,mdi,एमडीआई,6,3
26,mdg,एमडीजी,6,3
27,mdb,एमडीबी,6,3
28,mhs,एमएचएस,6,3
29,mia,मिया,4,3
30,mic,एमआईसी,6,3
31,tvs,टीवीएस,6,3
32,mod,माड,3,3
33,der,डेर,3,3
34,mng,एमएनजी,6,3
35,mmt,एमएमटी,6,3
36,mmr,एमएमआर,6,3
37,ara,आरा,3,3
38,des,देस,3,3
39,mmp,एमएमपी,6,3
40,mmc,एमएमसी,6,3
41,mlm,एमएलएम,6,3
42,mlc,एम्एलसी,7,3
43,mla,एमएलए,5,3
44,apu,अपु,3,3
45,udf,यूडीएफ,6,3
46,tur,तूर,3,3
47,aps,एपीएस,5,3
48,mit,एमआईटी,6,3
49,mis,एमआईएस,6,3
50,dev,डेव,3,3
51,min,मिन,3,3
52,mim,मीम,3,3
53,mil,मिल,3,3
54,dfc,डीएफसी,6,3
55,dfd,डीएफडी,6,3
56,dgf,डीजीएफ,6,3
57,mig,एम्आईजी,7,3
58,mid,मिड,3,3
59,app,एप्प,4,3
60,apt,एपीटी,5,3
61,tun,टुन,3,3
62,mda,एमडीए,5,3
63,mcs,एमसीएस,6,3
64,ums,यूएमएस,6,3
65,ant,एएनटी,5,3
66,una,उना,3,3
67,map,मेप,3,3
68,dit,डीआईटी,6,3
69,diu,दिव,3,3
70,dlc,डीएलसी,6,3
71,dle,डीएलई,5,3
72,unf,यूएनएफ,6,3
73,dma,डीएमए,5,3
74,dmc,डीएमसी,6,3
75,uni,यूनी,4,3
76,dmi,डीएमआई,6,3
77,dml,डीएमएल,6,3
78,dna,डीएनए,5,3
79,dnb,डीएनबी,6,3
80,dns,डीएनएस,6,3
81,dog,डाग,3,3
82,man,मान,3,3
83,dom,डोम,3,3
84,don,डान,3,3
85,ann,एन्न,4,3
86,unp,यूएनपी,6,3
87,dor,डोर,3,3
88,dos,डास,3,3
89,upa,यूपीए,5,3
90,dot,डाट,3,3
91,dis,डीआईएस,6,3
92,uml,यूएमएल,6,3
93,dir,डिर,3,3
94,dia,ड़ीआइए,6,3
95,mcf,एमसीएफ,6,3
96,mcd,एमसीडी,6,3
97,mca,एमसीए,5,3
98,udi,यूडीआई,6,3
99,mbr,एमबीआर,6,3
100,mbp,एमबीपी,6,3
101,anu,अणु,3,3
102,udp,यूडीपी,6,3
103,mba,एमबीए,5,3
104,max,मैक्स,5,3
105,ues,यूईएस,5,3
106,ufs,यूएफएस,6,3
107,mcu,एमसीयू,6,3
108,uhf,यूएचएफ,6,3
109,uin,यूआईएन,6,3
110,uip,यूआईपी,6,3
111,mau,एमएयू,5,3
112,dig,डीग,3,3
113,mat,एम्एटी,6,3
114,ulb,यूएलबी,6,3
115,dil,दिल,3,3
116,dim,डिम,3,3
117,din,डिन,3,3
118,mas,एमएएस,5,3
119,dio,डियो,4,3
120,dip,डिप,3,3
121,uma,उमा,3,3
122,uid,यूआईडी,6,3
123,dow,डाउ,3,3
124,dep,डीईपी,5,3
125,den,दीन,3,3
126,dab,डीएबी,5,3
127,dac,डेक,3,3
128,top,टाप,3,3
129,dad,डैडी,4,3
130,dae,डीएई,4,3
131,tor,टूर,3,3
132,dag,डाग,3,3
133,nag,नाग,3,3
134,dai,दाई,3,3
135,tos,टोस,3,3
136,dak,डाक,3,3
137,tot,टूट,3,3
138,nad,नाद,3,3
139,art,आर्ट,4,3
140,dal,दाल,3,3
141,ars,आर्स,4,3
142,tpa,टीपीए,5,3
143,tpd,टीपीडी,6,3
144,dam,डैम,3,3
145,tpi,टीपीआई,6,3
146,tra,टीआरए,5,3
147,arp,एआरपी,5,3
148,dan,डैन,3,3
149,mya,म्या,4,3
150,muv,एमयूवी,6,3
151,dap,डीएपी,5,3
