,Unnamed: 0,hi,hi-en,len-hi,len-hi-en,translit
0,1,१ए,a,2,1,ा
1,24,एक्स,x,4,1,क्ष
2,22,जे,j,2,1,ज
3,21,का,k,2,1,क
4,20,तो,o,2,1,ो
5,19,डी,d,2,1,डी
6,18,ई०,i,2,1,ी
7,17,यू,u,2,1,ु
8,16,सी,c,2,1,स
9,15,एल,l,2,1,ल
10,25,या,y,2,1,य
11,12,ह,h,1,1,ह
12,11,न,n,1,1,न
13,10,डब्ल्यू,w,7,1,व
14,9,बी॰,b,3,1,बी
15,8,एफ,f,2,1,फ
16,7,ई,e,1,1,इ
17,4,प,p,1,1,प
18,3,जी,g,2,1,ग
19,2,आर॰,r,3,1,र
20,13,एस॰,s,3,1,स
21,154,सा,sa,2,2,सा
22,153,ऊब,ub,2,2,ऊब
23,152,है,ha,2,2,है
24,148,सो,so,2,2,सो
25,150,ओट,ot,2,2,ओट
26,149,ही,hi,2,2,ही
27,155,लो,lo,2,2,लो
28,151,तो,to,2,2,तो
29,156,ऍक्सपी,xp,6,2,ष्प
30,161,बीए,ba,3,2,बा
31,158,बीबी,bb,4,2,बब
32,159,बीजी,bg,4,2,बग
33,160,ऍन,an,2,2,ान
34,163,रे,re,2,2,रे
35,164,ने,ne,2,2,ने
36,165,हो,ho,2,2,हो
37,166,स्व,sw,3,2,स्व
38,147,टन,tn,2,2,तन
39,157,सीआई,ci,4,2,की
40,146,टीई,te,3,2,ते
41,135,सीडब्ल्यू,cw,9,2,कव
42,144,ये,ye,2,2,ये
43,124,टीपी,tp,4,2,तप
44,125,भी,bh,2,2,बह
45,126,पीएच,ph,4,2,पह
46,127,यो,yo,2,2,यो
47,128,ली,ii,2,2,ी
48,129,ढ़,dh,2,2,ढ
49,131,एट,et,2,2,ेट
50,132,ऑव,ow,2,2,ऊ
51,133,एम॰जे॰,mj,6,2,ंज
52,134,को,ko,2,2,को
53,167,ऑफ,of,2,2,ऑफ़
54,136,वीं,vu,3,2,वो
55,137,एक,ek,2,2,एक
