,hi-en,hi,len-hi,len-hi-en
0,o,ओ,1,1
1,i,ई,1,1
2,l,ल,1,1
3,u,उ,1,1
4,q,क्यू,4,1
5,a,आ,1,1
6,e,ए,1,1
7,m,म्म्म,5,1
8,r,र,1,1
9,ki,की,2,2
10,hu,हु,2,2
11,va,वा,2,2
12,ne,ने,2,2
13,ja,जा,2,2
14,gi,गी,2,2
15,di,दी,2,2
16,so,सो,2,2
17,ye,ये,2,2
18,wo,वो,2,2
19,ni,नी,2,2
20,se,से,2,2
21,ud,उड़,2,2
22,ho,हो२,3,2
23,aj,आज,2,2
24,eh,एह,2,2
25,ai,ऐ,1,2
26,in,इन,2,2
27,yu,यू,2,2
28,ba,बा,2,2
29,de,दे२,3,2
30,ae,आए,2,2
31,ko,को,2,2
32,ab,अब,2,2
33,oe,ओए,2,2
34,vi,वी,2,2
35,ay,आय,2,2
36,bu,बू,2,2
37,ar,आर,2,2
38,of,ओफ़,2,2
39,te,ते,2,2
40,ku,कु,2,2
41,ei,एइ,2,2
42,pe,पे,2,2
43,en,एं,2,2
44,by,बाइ,3,2
45,my,माए,3,2
46,up,अप,2,2
47,jo,जो,2,2
48,ik,इक,2,2
49,na,न,1,2
50,li,ली,2,2
51,nu,नु,2,2
52,hi,ही,2,2
53,be,बे,2,2
54,or,ओर,2,2
55,da,दा,2,2
56,ru,रू,2,2
57,do,दो,2,2
58,ke,के२,3,2
59,to,तो२,3,2
60,lo,लो२,3,2
61,sh,ष्ह्ह्ह्ह,9,2
62,ve,वे,2,2
63,mu,मु,2,2
64,zo,ज़ो,2,2
65,ma,म,1,2
66,oo,ओओ,2,2
67,ji,जी,2,2
68,pi,पी,2,2
69,ta,ता,2,2
70,ya,या,2,2
71,ga,गा,2,2
72,re,रे,2,2
73,oy,ओय,2,2
74,me,मे,2,2
75,us,उस,2,2
76,he,हे,2,2
77,si,सी,2,2
78,bo,बोओ,3,2
79,le,ले,2,2
80,su,सु,2,2
81,tu,तू,2,2
82,is,इस,2,2
83,ag,आग,2,2
84,ka,का,2,2
85,uh,उह,2,2
86,pa,पा,2,2
87,mo,मो,2,2
88,sa,सा,2,2
89,an,आं,2,2
90,ui,उइ,2,2
91,cr,ऱ,1,2
92,ek,एक,2,2
93,ot,ओट,2,2
94,as,आस,2,2
95,ur,उर,2,2
96,ao,आओ,2,2
97,un,ऊं,2,2
98,ri,री,2,2
99,ha,हा,2,2
100,ap,आप,2,2
101,ah,आह,2,2
102,ro,रो,2,2
103,lu,लू,2,2
104,om,ओम,2,2
105,sae,साए,3,3
106,til,तिल,3,3
107,dun,दूं,3,3
108,kai,कै,2,3
109,nae,नए,2,3
110,dav,दाव,3,3
111,ise,इसे,3,3
112,nal,नाल,3,3
113,roy,रोय,3,3
114,pas,पास,3,3
115,may,मय,2,3
116,oae,ओअए,3,3
117,jab,जब,2,3
118,ake,आके,3,3
119,odh,ओढ़,2,3
120,sal,साल,3,3
121,tam,ताम,3,3
122,mom,मोम,3,3
123,baj,बाज,3,3
124,dua,दुआ,3,3
125,hui,हुई,3,3
126,voh,वोह,3,3
127,oho,ओहो,3,3
128,ate,आते,3,3
129,gaz,ग़ज़,2,3
130,ban,बन,2,3
131,sur,सुर,3,3
132,ila,इला,3,3
133,kho,खो,2,3
134,ala,अल्ला,5,3
135,aha,अहा,3,3
136,dil,दिल,3,3
137,hay,हाय,3,3
138,baz,बाज़,3,3
139,par,पर,2,3
140,rag,राग,3,3
141,bin,बिन,3,3
142,ani,आनी,3,3
143,ali,अली,3,3
144,kar,कर,2,3
145,ada,अदा,3,3
146,hal,हाल,3,3
147,aya,आया,3,3
148,izi,ईज़ी,3,3
149,nil,नील,3,3
150,sai,सै,2,3
151,jad,जड़,2,3
152,ana,आना,3,3
153,dag,दाग,3,3
154,dor,डोर,3,3
155,rup,रूप,3,3
156,vah,वह,2,3
157,mor,मोर,3,3
158,udi,उड़ी,3,3
159,mit,मिट,3,3
160,kun,ख़ून,3,3
161,sak,साख़,3,3
162,sej,सेज,3,3
163,man,मान,3,3
164,dal,डाल,3,3
165,anu,अणु,3,3
166,not,नोट,3,3
167,sir,सिर,3,3
168,the,थे,2,3
169,mil,मिल,3,3
170,veg,वेग,3,3
171,tut,टूट,3,3
172,gae,गए,2,3
173,gai,गैइ,3,3
174,rog,रोग,3,3
175,dhi,धी,2,3
176,raz,राज़,3,3
177,kah,कह,2,3
178,pat,पत,2,3
179,rat,रात,3,3
180,din,दिन,3,3
181,nun,नूँ,3,3
182,tap,ताप,3,3
183,dir,दिर,3,3
184,var,वार,3,3
185,ham,हम,2,3
186,boe,बोए,3,3
187,mod,मोड़,3,3
188,oha,ओह,2,3
189,rah,रह,2,3
190,jan,जाँ,3,3
191,sau,सौ,2,3
192,pag,पाग,3,3
193,iko,इक्को,5,3
194,men,में,3,3
195,zor,ज़ोर,3,3
196,pap,पाप,3,3
197,har,हर,2,3
198,ris,रिस,3,3
199,ron,रों,3,3
200,raj,राज,3,3
201,tui,तुई,3,3
202,mua,मुआ,3,3
203,kot,कोट,3,3
204,nau,नौ,2,3
205,kad,कद,2,3
206,kin,कीं,3,3
207,sui,सुई,3,3
208,nas,नस,2,3
209,lad,लड़,2,3
210,sas,सास,3,3
211,gop,गोप,3,3
212,tat,तट,2,3
213,pul,पुल,3,3
214,akl,अक्ल,4,3
215,bai,बाई,3,3
216,pan,पन,2,3
217,ser,सेर,3,3
218,hoa,होऽ,3,3
219,ore,ओरे,3,3
220,ilm,इल्म,4,3
221,dai,दई,2,3
222,sad,सद,2,3
223,roj,रोज,3,3
224,ute,उत्ते,5,3
225,ank,अंक,3,3
226,goa,गोआ,3,3
227,isa,ईसा,3,3
228,naa,ना,2,3
229,one,वन,2,3
230,tip,टिप,3,3
231,gau,गाऊ,3,3
232,gol,गोल,3,3
233,sid,सिड,3,3
234,ori,ओरी,3,3
235,abi,अबी,3,3
236,out,आउट,3,3
237,rol,रोल,3,3
238,lok,लोक,3,3
239,aai,आई,2,3
240,don,डोन,3,3
241,aam,आम,2,3
242,gay,गाय,3,3
243,lat,लट,2,3
244,pir,पीर,3,3
245,toh,तो,2,3
246,bha,भा,2,3
247,jun,जूं,3,3
248,rob,रोब,3,3
249,das,डस,2,3
250,mat,मत,2,3
251,nam,नाम,3,3
252,chu,छू,2,3
253,pai,पाई,3,3
254,hir,हीर,3,3
255,bag,बाग़,3,3
256,yar,यार,3,3
257,sun,सुन,3,3
258,thi,थी,2,3
259,ras,रस,2,3
260,saz,साज़,3,3
261,nai,नई,2,3
262,hue,हुए,3,3
263,dol,डोल,3,3
264,koy,कोय,3,3
265,maf,माफ़,3,3
266,kub,ख़ूब,3,3
267,tab,तब,2,3
268,kie,किए,3,3
269,bhi,भी,2,3
270,bat,बात,3,3
271,aen,आएं,3,3
272,ain,आईं,3,3
273,day,दाय,3,3
274,for,फ़ोर,3,3
275,nor,नोओर,4,3
276,khu,खू,2,3
277,pak,पाक,3,3
278,pit,पीत,3,3
279,udo,उड़ोओ,4,3
280,ari,आरी,3,3
281,hot,होत,3,3
282,kas,कस,2,3
283,gal,गाल,3,3
284,had,हद,2,3
285,tum,तुम,3,3
286,lae,लाए,3,3
287,chi,चि,2,3
288,yug,युग,3,3
289,bam,बम,2,3
290,jal,जल,2,3
291,kul,कुल,3,3
292,uge,उगे,3,3
293,sip,सीप,3,3
294,tim,टिम,3,3
295,saj,सज,2,3
296,jud,जुड़,3,3
297,koe,कोए,3,3
298,tak,तक,2,3
299,aju,आजू,3,3
300,oye,ओये,3,3
301,lut,लूट,3,3
302,gar,गर,2,3
303,nis,निस,3,3
304,die,दिए,3,3
305,age,आगे,3,3
306,mel,मेल,3,3
307,dip,दीप,3,3
308,nak,नाक,3,3
309,jat,जट्ट,4,3
310,soi,सोई,3,3
311,umr,उम्र,4,3
312,tir,तीर,3,3
313,kha,खा,2,3
314,aye,आये,3,3
315,ude,उड़े,3,3
316,che,छे,2,3
317,bol,बोल,3,3
318,pam,पम,2,3
319,gul,गुल,3,3
320,roi,रोई,3,3
321,ghi,घी,2,3
322,sab,सब,2,3
323,nim,नीम,3,3
324,keh,केह,3,3
325,sho,शो,2,3
326,yun,यूँ,3,3
327,mai,माई,3,3
328,des,देस,3,3
329,kak,ख़ाक,3,3
330,tal,टाल,3,3
331,elo,एलो,3,3
332,son,सोन,3,3
333,taj,ताज,3,3
334,jit,जीत,3,3
335,gam,ग़म,2,3
336,hil,हिल,3,3
337,kal,कल,2,3
338,ruk,रुक,3,3
339,ran,रण,2,3
340,gir,गिर,3,3
341,dam,दम,2,3
342,aur,और,2,3
343,nag,नाग,3,3
344,pae,पाए,3,3
345,isi,इसी,3,3
346,bar,बार,3,3
347,yah,यह,2,3
348,bas,बस,2,3
349,ayo,आयो,3,3
350,tay,तय,2,3
351,kud,ख़ुद,3,3
352,sat,सात,3,3
353,bah,बह,2,3
354,jie,जीए,3,3
355,ugr,उग्र,4,3
356,aji,अजी,3,3
357,bal,बल,2,3
358,jul,जुल,3,3
359,haq,हक़,2,3
360,sar,सर,2,3
361,dan,ड्डां,5,3
362,gun,गुन,3,3
363,gum,गुम,3,3
364,nur,नूर,3,3
365,are,अरे,3,3
366,kis,किस,3,3
367,roz,रोज़,3,3
368,bap,बाप,3,3
369,dum,दुम,3,3
370,log,लोग,3,3
371,zid,ज़िद,3,3
372,hey,हेय,3,3
373,vad,वाद,3,3
374,jin,जिन,3,3
375,naz,नाज़,3,3
376,but,बूट,3,3
377,dur,दूर,3,3
378,aja,आजा,3,3
379,and,अन्द,4,3
380,dha,ध,1,3
381,kam,काम,3,3
382,cha,छा,2,3
383,pal,पल,2,3
384,lal,लाल,3,3
385,min,मीन,3,3
386,hon,हों,3,3
387,nar,नार,3,3
388,mal,माल,3,3
389,sut,सूट,3,3
390,gad,गाड़,3,3
391,kat,कट,2,3
392,kuk,कूक,3,3
393,akh,अख,2,3
394,mem,मेम,3,3
395,hun,हूँ,3,3
396,vot,वोट,3,3
397,uda,उड़ा,3,3
398,mud,मुड़,3,3
399,adi,आड़ी,3,3
400,pie,पिए,3,3
401,hoe,होए,3,3
402,koi,कोई,3,3
403,ote,ओते,3,3
404,upe,उपे,3,3
405,tez,तेज़,3,3
406,use,उसे,3,3
407,tan,तान,3,3
408,mas,मस,2,3
409,rit,रित,3,3
410,moh,मोह,3,3
411,dar,डर,2,3
412,lao,लाओ,3,3
413,roe,रोए,3,3
414,gya,ग्या,4,3
415,len,लें,3,3
416,lin,लीं,3,3
417,bit,बीत,3,3
418,ugi,उगि,3,3
419,nav,नाव,3,3
420,nir,नीर,3,3
421,yan,याँ,3,3
422,pet,पेट,3,3
423,soe,सोए,3,3
424,tod,तोड़,3,3
425,jao,जाओ,3,3
426,jae,जाए,3,3
427,sam,सम,2,3
428,tin,तीन,3,3
429,lie,लिए,3,3
430,muh,मुह,3,3
431,jis,जिस,3,3
432,jod,जोड़,3,3
433,rok,रोक,3,3
434,lun,लूँ,3,3
435,der,देर,3,3
436,den,दें,3,3
437,tar,तार,3,3
438,dub,डूब,3,3
439,tis,तीस,3,3
440,bue,बूए,3,3
441,ayi,आयी,3,3
442,ret,रेत,3,3
443,ang,अंग,3,3
444,jia,जिआ,3,3
445,laj,लाज,3,3
446,pia,पिआ,3,3
447,ata,आता,3,3
448,aun,आऊँ,3,3
449,sis,सीस,3,3
450,nit,नित,3,3
451,sha,शा,2,3
452,pya,प्या,4,3
453,lag,लग,2,3
454,rab,रब,2,3
455,usi,उसी,3,3
456,lab,लब,2,3
457,hoi,होई,3,3
458,sah,सह,2,3
459,iza,ईज़ा,3,3
460,aru,अरु,3,3
461,uth,उठ,2,3
462,bad,बाद,3,3
463,ram,राम,3,3
464,ped,पेड़,3,3
465,git,गीत,3,3
466,jeb,जेब,3,3
